timeframe,rsi_at_entry,ema_diff,volume_ratio,session,htf_bias,trade_direction,sl_distance_points,entry_price,result,pnl_points,EnteredAt,ExitedAt,ExitPrice,PnL,Size,duration_seconds,contract
1H,52.51,-95.76,4.68,newyork,bullish,short,0.75,24927.0,win,0.75,2025-11-14 15:08:17+00:00,2025-11-14 15:15:26+00:00,24926.25,1.5,1,429.0,MNQZ5
1H,57.47,-54.53,2.644,newyork,bullish,short,0.5,25091.75,win,0.5,2025-11-14 16:04:45+00:00,2025-11-14 16:06:28+00:00,25091.25,1.0,1,103.0,MNQZ5
1H,57.47,-54.53,2.644,newyork,bullish,short,44.5,25094.0,loss,-44.5,2025-11-14 16:08:42+00:00,2025-11-14 16:16:46+00:00,25138.5,-178.0,2,484.0,MNQZ5
1H,43.62,-10.21,4.513,newyork,bearish,short,1.5,25162.75,loss,-1.5,2025-11-17 14:44:31+00:00,2025-11-17 14:44:39+00:00,25164.25,-3.0,1,8.0,MNQZ5
1H,43.62,-10.21,4.513,newyork,bearish,short,45.0,25153.75,loss,-45.0,2025-11-17 14:45:02+00:00,2025-11-17 14:46:19+00:00,25198.75,-90.0,1,77.0,MNQZ5
1H,43.62,-10.21,4.513,newyork,bearish,short,44.5,25154.25,loss,-44.5,2025-11-17 14:45:03+00:00,2025-11-17 14:46:19+00:00,25198.75,-89.0,1,76.0,MNQZ5
1H,43.62,-10.21,4.513,newyork,bearish,short,32.25,25166.5,loss,-32.25,2025-11-17 14:45:14+00:00,2025-11-17 14:46:19+00:00,25198.75,-64.5,1,65.0,MNQZ5
1H,43.62,-10.21,4.513,newyork,bearish,short,5.25,25202.75,loss,-5.25,2025-11-17 15:00:00+00:00,2025-11-17 15:00:02+00:00,25208.0,-10.5,1,2.0,MNQZ5
1H,43.62,-10.21,4.513,newyork,bearish,short,58.5,25209.75,win,58.5,2025-11-17 15:00:27+00:00,2025-11-17 15:03:32+00:00,25151.25,117.0,1,185.0,MNQZ5
1H,43.62,-10.21,4.513,newyork,bearish,short,57.5,25208.75,win,57.5,2025-11-17 15:00:27+00:00,2025-11-17 15:03:32+00:00,25151.25,115.0,1,185.0,MNQZ5
1H,43.62,-10.21,4.513,newyork,bearish,short,51.0,25202.25,win,51.0,2025-11-17 15:01:04+00:00,2025-11-17 15:03:32+00:00,25151.25,102.0,1,148.0,MNQZ5
1H,30.28,-115.25,4.908,newyork,bearish,short,56.75,24737.25,win,56.75,2025-11-18 14:41:00+00:00,2025-11-18 14:42:40+00:00,24680.5,227.0,2,100.0,MNQZ5
1H,54.38,30.57,4.987,newyork,bearish,short,6.25,24937.0,loss,-6.25,2025-11-19 15:24:00+00:00,2025-11-19 15:31:13+00:00,24943.25,-12.5,1,433.0,MNQZ5
1H,54.38,30.57,4.987,newyork,bearish,short,6.25,24949.5,win,6.25,2025-11-19 15:24:05+00:00,2025-11-19 15:31:13+00:00,24943.25,12.5,1,428.0,MNQZ5
1H,37.02,-116.94,4.441,newyork,bearish,long,44.0,24196.0,win,44.0,2025-11-21 14:51:04+00:00,2025-11-21 14:52:49+00:00,24240.0,88.0,1,105.0,MNQZ5
1H,37.02,-116.94,4.441,newyork,bearish,long,69.75,24180.25,win,69.75,2025-11-21 14:51:22+00:00,2025-11-21 14:54:13+00:00,24250.0,139.5,1,171.0,MNQZ5
1H,50.35,22.07,5.046,newyork,bearish,long,62.25,24766.5,loss,-62.25,2025-11-25 15:09:08+00:00,2025-11-25 15:23:04+00:00,24704.25,-124.5,1,836.0,MNQZ5
1H,50.35,22.07,5.046,newyork,bearish,long,61.5,24765.75,loss,-61.5,2025-11-25 15:09:25+00:00,2025-11-25 15:23:04+00:00,24704.25,-123.0,1,819.0,MNQZ5
1H,61.85,11.93,4.677,newyork,bullish,long,8.75,25361.5,win,8.75,2025-12-01 15:08:04+00:00,2025-12-01 15:13:22+00:00,25370.25,70.0,4,318.0,MNQZ5
1H,76.46,63.01,5.133,newyork,bullish,long,26.5,25593.25,win,26.5,2025-12-02 14:58:23+00:00,2025-12-02 15:00:47+00:00,25619.75,159.0,3,144.0,MNQZ5
1H,76.46,63.01,5.133,newyork,bullish,long,16.75,25593.25,win,16.75,2025-12-02 14:58:23+00:00,2025-12-02 15:00:41+00:00,25610.0,67.0,2,138.0,MNQZ5
1H,36.53,-0.29,4.836,newyork,bearish,long,25.25,25745.5,loss,-25.25,2025-12-08 15:17:49+00:00,2025-12-08 15:20:46+00:00,25720.25,-50.5,1,177.0,MNQZ5
1H,36.53,-0.29,4.836,newyork,bearish,long,15.25,25735.5,loss,-15.25,2025-12-08 15:18:39+00:00,2025-12-08 15:20:46+00:00,25720.25,-122.0,4,127.0,MNQZ5
1H,50.1,-15.58,4.56,newyork,bullish,long,1.0,25603.0,win,1.0,2025-12-09 14:36:03+00:00,2025-12-09 14:37:18+00:00,25604.0,2.0,1,75.0,MNQZ5
1H,50.1,-15.58,4.56,newyork,bullish,long,8.75,25595.25,win,8.75,2025-12-09 14:36:25+00:00,2025-12-09 14:37:18+00:00,25604.0,35.0,2,53.0,MNQZ5
1H,27.86,-57.38,7.722,newyork,bearish,long,25.0,25562.0,win,25.0,2025-12-12 14:32:12+00:00,2025-12-12 14:34:46+00:00,25587.0,50.0,1,154.0,MNQZ5
1H,27.86,-57.38,7.722,newyork,bearish,long,50.25,25561.25,win,50.25,2025-12-12 14:32:13+00:00,2025-12-12 14:39:20+00:00,25611.5,100.5,1,427.0,MNQZ5
1H,27.86,-57.38,7.722,newyork,bearish,long,0.25,25611.25,loss,-0.25,2025-12-12 14:39:48+00:00,2025-12-12 14:39:49+00:00,25611.0,-0.5,1,1.0,MNQZ5
1H,27.86,-57.38,7.722,newyork,bearish,long,2.0,25610.5,loss,-2.0,2025-12-12 14:39:51+00:00,2025-12-12 14:40:00+00:00,25608.5,-4.0,1,9.0,MNQZ5
1H,68.19,50.77,5.181,newyork,bullish,short,26.0,25196.5,win,26.0,2025-12-18 14:48:36+00:00,2025-12-18 14:49:10+00:00,25170.5,52.0,1,34.0,MNQH6
1H,64.29,70.21,2.757,newyork,bullish,long,17.5,25504.0,win,17.5,2025-12-19 15:30:05+00:00,2025-12-19 15:43:10+00:00,25521.5,35.0,1,785.0,MNQH6
1H,64.29,70.21,2.757,newyork,bullish,long,38.0,25504.0,win,38.0,2025-12-19 15:30:05+00:00,2025-12-19 15:35:32+00:00,25542.0,76.0,1,327.0,MNQH6
1H,57.83,56.45,4.669,newyork,bearish,short,39.25,25714.5,win,39.25,2025-12-22 15:05:09+00:00,2025-12-22 15:15:04+00:00,25675.25,78.5,1,595.0,MNQH6
1H,67.81,30.84,3.811,newyork,bullish,long,17.5,25861.75,win,17.5,2025-12-26 15:18:01+00:00,2025-12-26 15:20:49+00:00,25879.25,35.0,1,168.0,MNQH6
1H,67.81,30.84,3.811,newyork,bullish,long,17.0,25862.25,win,17.0,2025-12-26 15:18:03+00:00,2025-12-26 15:20:49+00:00,25879.25,34.0,1,166.0,MNQH6
1H,67.81,30.84,3.811,newyork,bullish,long,18.5,25860.75,win,18.5,2025-12-26 15:18:12+00:00,2025-12-26 15:20:49+00:00,25879.25,37.0,1,157.0,MNQH6
1H,33.61,-42.58,2.593,newyork,bearish,short,13.25,25744.0,win,13.25,2025-12-29 15:47:01+00:00,2025-12-29 15:47:51+00:00,25730.75,26.5,1,50.0,MNQH6
1H,33.61,-42.58,2.593,newyork,bearish,short,13.75,25744.5,win,13.75,2025-12-29 15:47:01+00:00,2025-12-29 15:47:51+00:00,25730.75,27.5,1,50.0,MNQH6
1H,33.61,-42.58,2.593,newyork,bearish,short,13.75,25744.5,win,13.75,2025-12-29 15:47:02+00:00,2025-12-29 15:47:51+00:00,25730.75,27.5,1,49.0,MNQH6
1H,50.44,-2.43,4.977,newyork,bearish,short,0.0,25736.25,loss,0.0,2025-12-30 15:05:01+00:00,2025-12-30 15:05:51+00:00,25736.25,0.0,1,50.0,MNQH6
1H,50.44,-2.43,4.977,newyork,bearish,short,0.5,25736.75,win,0.5,2025-12-30 15:05:02+00:00,2025-12-30 15:05:51+00:00,25736.25,1.0,1,49.0,MNQH6
1H,65.7,32.54,4.112,newyork,bullish,short,28.0,25603.25,win,28.0,2026-01-05 14:47:36+00:00,2026-01-05 14:48:42+00:00,25575.25,56.0,1,66.0,MNQH6
1H,65.7,32.54,4.112,newyork,bullish,short,1.0,25601.25,win,1.0,2026-01-05 14:47:40+00:00,2026-01-05 14:50:01+00:00,25600.25,2.0,1,141.0,MNQH6
1H,58.31,28.03,5.14,newyork,bearish,short,0.75,25635.5,win,0.75,2026-01-06 14:39:03+00:00,2026-01-06 14:42:51+00:00,25634.75,1.5,1,228.0,MNQH6
1H,58.31,28.03,5.14,newyork,bearish,short,0.75,25635.5,win,0.75,2026-01-06 14:39:03+00:00,2026-01-06 14:42:51+00:00,25634.75,1.5,1,228.0,MNQH6
1H,73.62,32.36,5.729,newyork,bullish,long,2.0,25863.0,loss,-2.0,2026-01-07 15:07:01+00:00,2026-01-07 15:13:18+00:00,25861.0,-4.0,1,377.0,MNQH6
1H,73.62,32.36,5.729,newyork,bullish,long,3.0,25858.0,win,3.0,2026-01-07 15:08:08+00:00,2026-01-07 15:13:18+00:00,25861.0,6.0,1,310.0,MNQH6
1H,73.62,32.36,5.729,newyork,bullish,long,25.5,25853.5,loss,-25.5,2026-01-07 15:15:07+00:00,2026-01-07 15:17:18+00:00,25828.0,-102.0,2,131.0,MNQH6
1H,41.33,-32.92,5.101,newyork,bullish,short,37.5,25629.0,win,37.5,2026-01-08 14:58:04+00:00,2026-01-08 15:00:11+00:00,25591.5,75.0,1,127.0,MNQH6
1H,60.73,21.42,6.353,newyork,bullish,short,58.5,25719.25,win,58.5,2026-01-09 14:50:05+00:00,2026-01-09 15:08:19+00:00,25660.75,117.0,1,1094.0,MNQH6
1H,65.13,17.16,4.078,newyork,bullish,long,51.0,25872.75,win,51.0,2026-01-12 14:50:00+00:00,2026-01-12 14:51:15+00:00,25923.75,102.0,1,75.0,MNQH6
1H,50.71,15.86,5.927,newyork,bearish,long,42.5,25989.75,win,42.5,2026-01-13 14:36:02+00:00,2026-01-13 14:40:23+00:00,26032.25,85.0,1,261.0,MNQH6
1H,50.71,15.86,5.927,newyork,bearish,long,42.25,25989.5,win,42.25,2026-01-13 14:36:02+00:00,2026-01-13 14:40:28+00:00,26031.75,84.5,1,266.0,MNQH6
1H,21.34,-82.95,6.203,newyork,bearish,short,33.25,25558.0,loss,-33.25,2026-01-14 15:07:59+00:00,2026-01-14 15:09:48+00:00,25591.25,-66.5,1,109.0,MNQH6
1H,21.34,-82.95,6.203,newyork,bearish,short,32.25,25559.0,loss,-32.25,2026-01-14 15:08:00+00:00,2026-01-14 15:09:48+00:00,25591.25,-64.5,1,108.0,MNQH6
1H,21.34,-82.95,6.203,newyork,bearish,short,16.5,25574.75,loss,-16.5,2026-01-14 15:08:33+00:00,2026-01-14 15:09:48+00:00,25591.25,-33.0,1,75.0,MNQH6
1H,65.65,63.52,4.203,newyork,bullish,long,45.0,25896.25,loss,-45.0,2026-01-15 14:57:06+00:00,2026-01-15 15:07:32+00:00,25851.25,-90.0,1,626.0,MNQH6
1H,35.91,-8.37,5.295,newyork,bearish,long,51.0,25719.0,loss,-51.0,2026-01-16 15:24:32+00:00,2026-01-16 15:29:51+00:00,25668.0,-102.0,1,319.0,MNQH6
1H,35.91,-8.37,5.295,newyork,bearish,long,37.0,25705.0,loss,-37.0,2026-01-16 15:25:28+00:00,2026-01-16 15:29:51+00:00,25668.0,-74.0,1,263.0,MNQH6
1H,42.28,-116.35,2.572,newyork,bullish,long,28.25,25289.75,loss,-28.25,2026-01-20 15:14:02+00:00,2026-01-20 15:18:48+00:00,25261.5,-56.5,1,286.0,MNQH6
1H,42.28,-116.35,2.572,newyork,bullish,long,29.75,25291.25,loss,-29.75,2026-01-20 15:14:03+00:00,2026-01-20 15:18:48+00:00,25261.5,-59.5,1,285.0,MNQH6
1H,42.28,-116.35,2.572,newyork,bullish,long,22.75,25284.25,loss,-22.75,2026-01-20 15:14:31+00:00,2026-01-20 15:18:48+00:00,25261.5,-45.5,1,257.0,MNQH6
1H,53.16,79.31,4.095,newyork,bearish,long,0.5,25722.25,win,0.5,2026-01-22 14:21:21+00:00,2026-01-22 14:29:00+00:00,25722.75,1.0,1,459.0,MNQH6
1H,53.16,79.31,4.095,newyork,bearish,long,13.75,25722.25,win,13.75,2026-01-22 14:21:21+00:00,2026-01-22 14:26:53+00:00,25736.0,27.5,1,332.0,MNQH6
1H,53.16,79.31,4.095,newyork,bearish,long,9.25,25722.25,win,9.25,2026-01-22 14:21:21+00:00,2026-01-22 14:26:47+00:00,25731.5,18.5,1,326.0,MNQH6
1H,64.88,18.49,4.72,newyork,bullish,long,26.0,25702.0,loss,-26.0,2026-01-23 15:16:06+00:00,2026-01-23 15:20:04+00:00,25676.0,-52.0,1,238.0,MNQH6
1H,67.26,55.08,2.84,newyork,bullish,short,0.5,25864.25,win,0.5,2026-01-26 16:20:01+00:00,2026-01-26 16:21:19+00:00,25863.75,1.0,1,78.0,MNQH6
1H,67.26,55.08,2.84,newyork,bullish,short,0.75,25864.5,win,0.75,2026-01-26 16:20:02+00:00,2026-01-26 16:21:19+00:00,25863.75,1.5,1,77.0,MNQH6
1H,70.31,58.14,4.76,newyork,bullish,long,31.25,25998.5,loss,-31.25,2026-01-27 14:32:03+00:00,2026-01-27 14:34:03+00:00,25967.25,-62.5,1,120.0,MNQH6
1H,70.31,58.14,4.76,newyork,bullish,long,29.75,25997.0,loss,-29.75,2026-01-27 14:32:04+00:00,2026-01-27 14:34:03+00:00,25967.25,-59.5,1,119.0,MNQH6
1H,46.84,-34.32,4.466,newyork,bullish,short,84.75,25831.75,loss,-84.75,2026-01-30 14:33:26+00:00,2026-01-30 14:39:31+00:00,25916.5,-169.5,1,365.0,MNQH6
1H,46.84,-34.32,4.466,newyork,bullish,short,45.75,25883.75,win,45.75,2026-01-30 14:43:43+00:00,2026-01-30 14:59:01+00:00,25838.0,91.5,1,918.0,MNQH6
1H,46.84,-34.32,4.466,newyork,bullish,short,94.0,25914.75,win,94.0,2026-01-30 14:50:40+00:00,2026-01-30 14:59:36+00:00,25820.75,188.0,1,536.0,MNQH6
1H,28.26,-94.55,5.217,newyork,bearish,short,52.75,25207.5,loss,-52.75,2026-02-04 15:20:17+00:00,2026-02-04 15:23:30+00:00,25260.25,-105.5,1,193.0,MNQH6
1H,28.26,-94.55,5.217,newyork,bearish,long,78.25,25258.25,loss,-78.25,2026-02-04 15:25:02+00:00,2026-02-04 15:34:03+00:00,25180.0,-156.5,1,541.0,MNQH6
1H,40.17,-116.0,3.531,newyork,bullish,short,2.25,24590.75,win,2.25,2026-02-05 15:50:00+00:00,2026-02-05 15:58:27+00:00,24588.5,4.5,1,507.0,MNQH6
1H,58.81,43.44,4.237,newyork,bullish,short,1.0,24793.25,win,1.0,2026-02-06 15:10:01+00:00,2026-02-06 15:16:50+00:00,24792.25,2.0,1,409.0,MNQH6
1H,58.81,43.44,4.237,newyork,bullish,short,68.25,24835.5,loss,-68.25,2026-02-06 15:24:30+00:00,2026-02-06 15:26:59+00:00,24903.75,-136.5,1,149.0,MNQH6
1H,58.81,43.44,4.237,newyork,bullish,short,27.5,24876.25,loss,-27.5,2026-02-06 15:25:37+00:00,2026-02-06 15:26:59+00:00,24903.75,-55.0,1,82.0,MNQH6
1H,67.57,46.41,3.696,newyork,bullish,long,29.25,25050.75,win,29.25,2026-02-09 14:36:24+00:00,2026-02-09 14:38:03+00:00,25080.0,58.5,1,99.0,MNQH6
1H,59.49,35.14,4.603,newyork,bearish,long,42.25,25307.5,loss,-42.25,2026-02-10 14:44:01+00:00,2026-02-10 14:48:59+00:00,25265.25,-84.5,1,298.0,MNQH6
1H,59.49,35.14,4.603,newyork,bearish,long,39.25,25304.5,loss,-39.25,2026-02-10 14:44:02+00:00,2026-02-10 14:48:59+00:00,25265.25,-78.5,1,297.0,MNQH6
1H,59.49,35.14,4.603,newyork,bearish,long,24.75,25290.0,loss,-24.75,2026-02-10 14:45:35+00:00,2026-02-10 14:48:59+00:00,25265.25,-49.5,1,204.0,MNQH6
1H,59.49,35.14,4.603,newyork,bearish,long,56.25,25325.75,win,56.25,2026-02-10 14:52:07+00:00,2026-02-10 14:55:37+00:00,25382.0,112.5,1,210.0,MNQH6
1H,59.49,35.14,4.603,newyork,bearish,long,77.0,25310.75,win,77.0,2026-02-10 14:52:38+00:00,2026-02-10 14:55:58+00:00,25387.75,154.0,1,200.0,MNQH6
1H,46.27,-63.66,3.868,newyork,bullish,long,100.25,24694.25,win,100.25,2026-02-13 14:44:17+00:00,2026-02-13 14:45:54+00:00,24794.5,200.5,1,97.0,MNQH6
1H,42.34,-71.54,5.353,newyork,bullish,short,39.75,24525.5,win,39.75,2026-02-17 15:06:47+00:00,2026-02-17 15:11:59+00:00,24485.75,79.5,1,312.0,MNQH6
1H,42.34,-71.54,5.353,newyork,bullish,short,3.75,24531.75,win,3.75,2026-02-17 15:06:52+00:00,2026-02-17 15:12:32+00:00,24528.0,7.5,1,340.0,MNQH6
1H,50.99,-13.94,4.226,newyork,bullish,long,3.5,24896.25,win,3.5,2026-02-19 15:02:17+00:00,2026-02-19 15:02:45+00:00,24899.75,7.0,1,28.0,MNQH6
1H,50.99,-13.94,4.226,newyork,bullish,short,6.25,24892.75,loss,-6.25,2026-02-19 15:09:59+00:00,2026-02-19 15:15:14+00:00,24899.0,-12.5,1,315.0,MNQH6
1H,50.99,-13.94,4.226,newyork,bullish,short,7.75,24906.75,win,7.75,2026-02-19 15:10:31+00:00,2026-02-19 15:15:14+00:00,24899.0,15.5,1,283.0,MNQH6
1H,50.99,-13.94,4.226,newyork,bullish,short,3.5,24893.0,win,3.5,2026-02-19 15:19:02+00:00,2026-02-19 15:22:36+00:00,24889.5,7.0,1,214.0,MNQH6
1H,50.99,-13.94,4.226,newyork,bullish,short,2.25,24891.75,win,2.25,2026-02-19 15:19:03+00:00,2026-02-19 15:22:36+00:00,24889.5,4.5,1,213.0,MNQH6
1H,36.09,-19.99,5.158,newyork,bearish,short,4.5,24868.25,loss,-4.5,2026-02-23 15:13:04+00:00,2026-02-23 15:15:52+00:00,24872.75,-9.0,1,168.0,MNQH6
1H,36.09,-19.99,5.158,newyork,bearish,short,4.0,24876.75,win,4.0,2026-02-23 15:13:21+00:00,2026-02-23 15:15:52+00:00,24872.75,8.0,1,151.0,MNQH6
1H,36.09,-19.99,5.158,newyork,bearish,long,37.75,24912.75,loss,-37.75,2026-02-23 15:22:06+00:00,2026-02-23 15:29:04+00:00,24875.0,-75.5,1,418.0,MNQH6
1H,64.62,18.56,4.63,newyork,bullish,long,6.0,24876.25,loss,-6.0,2026-02-24 15:03:02+00:00,2026-02-24 15:07:02+00:00,24870.25,-12.0,1,240.0,MNQH6
1H,64.62,18.56,4.63,newyork,bullish,long,6.25,24864.0,win,6.25,2026-02-24 15:03:06+00:00,2026-02-24 15:07:02+00:00,24870.25,12.5,1,236.0,MNQH6
1H,75.7,87.86,2.378,newyork,bullish,long,32.25,25331.75,loss,-32.25,2026-02-25 15:30:02+00:00,2026-02-25 15:34:37+00:00,25299.5,-64.5,1,275.0,MNQH6
1H,75.7,87.86,2.378,newyork,bullish,long,32.25,25331.75,loss,-32.25,2026-02-25 15:30:05+00:00,2026-02-25 15:34:37+00:00,25299.5,-64.5,1,272.0,MNQH6
1H,75.7,87.86,2.378,newyork,bullish,long,33.75,25333.25,loss,-33.75,2026-02-25 15:30:06+00:00,2026-02-25 15:34:37+00:00,25299.5,-67.5,1,271.0,MNQH6
1H,49.08,-87.91,2.887,newyork,bullish,short,5.25,24412.75,win,5.25,2026-03-03 15:44:16+00:00,2026-03-03 15:49:23+00:00,24407.5,10.5,1,307.0,MNQH6
1H,49.08,-87.91,2.887,newyork,bullish,short,0.75,24410.75,loss,-0.75,2026-03-03 15:44:32+00:00,2026-03-03 15:49:24+00:00,24411.5,-1.5,1,292.0,MNQH6
1H,73.03,90.36,4.331,newyork,bullish,short,23.0,24914.25,loss,-23.0,2026-03-04 15:04:26+00:00,2026-03-04 15:06:09+00:00,24937.25,-92.0,2,103.0,MNQH6
1H,53.03,29.4,4.6,newyork,bearish,long,47.0,25172.75,loss,-47.0,2026-03-05 15:15:15+00:00,2026-03-05 15:17:36+00:00,25125.75,-94.0,1,141.0,MNQH6
1H,53.03,29.4,4.6,newyork,bearish,long,39.5,25165.25,loss,-39.5,2026-03-05 15:15:43+00:00,2026-03-05 15:17:36+00:00,25125.75,-79.0,1,113.0,MNQH6
1H,53.03,29.4,4.6,newyork,bearish,short,50.75,25004.75,win,50.75,2026-03-05 15:28:29+00:00,2026-03-05 15:30:49+00:00,24954.0,101.5,1,140.0,MNQH6
1H,50.38,21.64,2.627,newyork,bearish,short,26.5,25054.5,win,26.5,2026-03-05 15:42:31+00:00,2026-03-05 15:43:27+00:00,25028.0,53.0,1,56.0,MNQH6
1H,50.38,21.64,2.627,newyork,bearish,short,40.0,25058.5,win,40.0,2026-03-05 15:42:32+00:00,2026-03-05 15:43:35+00:00,25018.5,80.0,1,63.0,MNQH6
1H,50.38,21.64,2.627,newyork,bearish,short,3.0,25065.25,win,3.0,2026-03-05 16:01:44+00:00,2026-03-05 16:02:10+00:00,25062.25,6.0,1,26.0,MNQH6
1H,44.64,-80.33,3.929,newyork,bullish,long,1.75,24693.5,win,1.75,2026-03-06 14:49:02+00:00,2026-03-06 14:50:54+00:00,24695.25,3.5,1,112.0,MNQH6
1H,44.64,-80.33,3.929,newyork,bullish,long,5.75,24689.5,win,5.75,2026-03-06 14:49:03+00:00,2026-03-06 14:50:54+00:00,24695.25,11.5,1,111.0,MNQH6
1H,44.64,-80.33,3.929,newyork,bullish,short,16.75,24738.0,win,16.75,2026-03-06 15:04:32+00:00,2026-03-06 15:05:47+00:00,24721.25,33.5,1,75.0,MNQH6
1H,44.64,-80.33,3.929,newyork,bullish,short,0.5,24742.0,win,0.5,2026-03-06 15:04:35+00:00,2026-03-06 15:06:00+00:00,24741.5,1.0,1,85.0,MNQH6
1H,44.64,-80.33,3.929,newyork,bullish,short,10.0,24736.5,win,10.0,2026-03-06 15:08:06+00:00,2026-03-06 15:08:44+00:00,24726.5,20.0,1,38.0,MNQH6
1H,54.55,-39.39,3.529,newyork,bullish,short,17.75,24413.0,win,17.75,2026-03-09 13:38:05+00:00,2026-03-09 13:45:09+00:00,24395.25,35.5,1,424.0,MNQH6
1H,67.18,98.3,3.633,newyork,bullish,short,6.75,25001.25,loss,-6.75,2026-03-10 13:36:02+00:00,2026-03-10 13:41:59+00:00,25008.0,-13.5,1,357.0,MNQH6
1H,67.18,98.3,3.633,newyork,bullish,short,6.5,25014.5,win,6.5,2026-03-10 13:37:33+00:00,2026-03-10 13:41:59+00:00,25008.0,13.0,1,266.0,MNQH6
1H,67.18,98.3,3.633,newyork,bullish,short,90.5,24907.75,loss,-90.5,2026-03-10 14:15:35+00:00,2026-03-10 14:25:28+00:00,24998.25,-181.0,1,593.0,MNQH6
1H,67.18,98.3,3.633,newyork,bullish,short,78.75,24919.5,loss,-78.75,2026-03-10 14:18:22+00:00,2026-03-10 14:25:28+00:00,24998.25,-157.5,1,426.0,MNQH6
1H,67.18,98.3,3.633,newyork,bullish,short,25.0,24973.25,loss,-25.0,2026-03-10 14:22:26+00:00,2026-03-10 14:25:28+00:00,24998.25,-50.0,1,182.0,MNQH6
1H,40.13,-18.94,5.149,newyork,bearish,long,40.5,24660.0,win,40.5,2026-03-13 13:38:01+00:00,2026-03-13 13:41:59+00:00,24700.5,81.0,1,238.0,MNQH6
1H,40.13,-18.94,5.149,newyork,bearish,long,49.75,24662.75,win,49.75,2026-03-13 13:38:03+00:00,2026-03-13 13:42:08+00:00,24712.5,99.5,1,245.0,MNQH6
1H,40.13,-18.94,5.149,newyork,bearish,short,0.25,24782.0,loss,-0.25,2026-03-13 13:55:33+00:00,2026-03-13 13:55:48+00:00,24782.25,-0.5,1,15.0,MNQH6
1H,60.42,47.71,4.549,newyork,bearish,short,1.75,24699.0,win,1.75,2026-03-16 13:49:38+00:00,2026-03-16 13:56:09+00:00,24697.25,3.5,1,391.0,MNQH6
1H,60.42,47.71,4.549,newyork,bearish,short,1.75,24695.5,loss,-1.75,2026-03-16 13:49:43+00:00,2026-03-16 13:56:09+00:00,24697.25,-3.5,1,386.0,MNQH6
1H,34.3,-90.53,3.123,newyork,bearish,short,41.25,24408.5,loss,-41.25,2026-03-19 13:47:03+00:00,2026-03-19 13:49:44+00:00,24449.75,-82.5,1,161.0,MNQM6
1H,34.3,-90.53,3.123,newyork,bearish,short,28.75,24421.0,loss,-28.75,2026-03-19 13:47:30+00:00,2026-03-19 13:49:44+00:00,24449.75,-57.5,1,134.0,MNQM6
1H,45.1,-10.72,4.461,newyork,bullish,short,33.75,24193.5,win,33.75,2026-03-24 13:48:30+00:00,2026-03-24 13:49:46+00:00,24159.75,67.5,1,76.0,MNQM6
1H,45.1,-10.72,4.461,newyork,bullish,short,44.0,24181.5,win,44.0,2026-03-24 13:48:42+00:00,2026-03-24 13:51:49+00:00,24137.5,88.0,1,187.0,MNQM6
